"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"1","Abarema barbouriana",22484069,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Abarema",NA,"(Standl.) Barneby & J.W.Grimes",1000
"2","Abarema jupunba",144254416,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Abarema",NA,"(Willd.) Britton &amp; Killip",1000
"3","Acalypha diversifolia",150117801,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Acalypha",NA,"Jacq.",1000
"4","Acalypha macrostachya",146790439,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Acalypha",NA,"Jacq.",1000
"5","Acalypha platyphylla",189172804,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Acalypha",NA,"Müll.Arg.",1000
"6","Acalypha schiedeana",144287050,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Acalypha",NA,"Schltdl.",1000
"7","Acalypha villosa",149206660,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Acalypha",NA,"Jacq.",1000
"8","Adelia triloba",150000213,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Adelia",NA,"(Müll.Arg.) Hemsl.",1000
"9","Adenaria floribunda",135868152,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","LYTHRACEAE","Adenaria",NA,"Kunth",1000
"10","Aegiphila elata",203637507,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila",NA,"Sw.",1000
"11","Aegiphila integrifolia",151974556,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila",NA,"(Jacq.) B.D.Jacks.",1000
"12","Aegiphila laeta",151944220,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila",NA,"Kunth",1000
"13","Aegiphila mollis",150009533,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila",NA,"Kunth",1000
"14","Aegiphila novogranatensis",158692725,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila",NA,"Moldenke",1000
"15","Aegiphila truncata",164867159,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","LAMIACEAE","Aegiphila","Mantequillo","Moldenke",1000
"16","Albizia carbonaria",129105602,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Albizia",NA,"Britton",1000
"17","Albizia niopoides",62475,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Albizia",NA,"(Bentham) Burkart",1000
"18","Alchornea discolor",179302244,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Alchornea",NA,"Poepp.",1000
"19","Alchornea glandulosa",145689195,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Alchornea",NA,"Poepp.",1000
"20","Alchornea grandiflora",145703780,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Alchornea",NA,"Müll.Arg.",1000
"21","Alchornea latifolia",136793437,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Alchornea",NA,"Sw.",1000
"22","Alchornea triplinervia",60759001,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Alchornea",NA,"(Spreng.) Müll.Arg.",1000
"23","Alibertia edulis",150111913,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Alibertia",NA,"(Rich.) A.Rich. ex DC.",1000
"24","Allophylus amazonicus",145658750,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE","Allophylus",NA,"(Mart.) Radlk.",300
"25","Allophylus racemosus",150114378,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE","Allophylus",NA,"Sw.",300
"26","Alseis blackiana",215062886,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Alseis","Mameicillo","Hemsl.",1000
"27","Alternanthera sessilis",164480,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AMARANTHACEAE","Alternanthera","Sessile Joyweed","(L.) R.Br. ex DC.",1000
"28","Amaioua guianensis",179315435,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Amaioua",NA,"Aubl.",1000
"29","Ampelocera edentula",179289717,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","ULMACEAE","Ampelocera",NA,"Kuhlm.",1000
"30","Ampelocera macphersonii",151273316,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","ULMACEAE","Ampelocera",NA,"Todzia",1000
"31","Amyris pinnata",150011123,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","RUTACEAE","Amyris",NA,"Kunth",300
"32","Anadenanthera peregrina",144262459,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Anadenanthera",NA,"(L.) Speg.",1000
"33","Andira inermis",60761659,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Andira","Cabbage Tree","(Wright) DC.",1000
"34","Andira surinamensis",144275633,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Andira",NA,"(Bondt) Splitg. ex Pulle",1000
"35","Andira taurotesticulata",129105607,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Andira","Cojones de Toro","R.T.Penn.",1000
"36","Aparisthmium cordatum",150004558,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Aparisthmium",NA,"(A.Juss.) Baill.",1000
"37","Apeiba tibourbou",144314871,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Apeiba",NA,"Aubl.",1000
"38","Apuleia leiocarpa",61220263,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Apuleia","Anacaspi","(Vogel) J.F.Macbr.",1000
"39","Aralia excelsa",176099132,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","ARALIACEAE","Aralia","Cedro macho","(Griseb.) J.Wen",300
"40","Ardisia foetida",151214924,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Ardisia",NA,"Willd. ex Roem. &amp; Schult.",1000
"41","Ardisia guianensis",146766772,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Ardisia",NA,"(Aubl.) Mez",1000
"42","Aspidosperma cuspa",135867670,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Aspidosperma",NA,"(Kunth) S.F.Blake ex Pittier",300
"43","Aspidosperma desmanthum",61360716,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Aspidosperma",NA,"Benth. ex Müll.Arg.",300
"44","Aspidosperma megalocarpon",34746,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Aspidosperma",NA,"Müll.Arg.",300
"45","Baccharis latifolia",42532611,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Baccharis",NA,"Pers.",1000
"46","Baccharis nitida",192375554,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Baccharis",NA,"(Ruiz &amp; Pav.) Pers.",1000
"47","Banara guianensis",151217242,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","SALICACEAE","Banara",NA,"Aubl.",3000
"48","Bauhinia aculeata",135866869,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Bauhinia",NA,"L.",1000
"49","Bauhinia petiolata",151943994,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Bauhinia",NA,"(Mutis ex DC.) Triana ex Hook.",1000
"50","Bauhinia picta",37851,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Bauhinia","Palo de Orquídeas","(Kunth) DC.",1000
"51","Bauhinia ungulata",146787040,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Bauhinia",NA,"L.",1000
"52","Bejaria aestuans",136787839,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","ERICACEAE","Bejaria",NA,"Mutis ex L.",1000
"53","Boehmeria caudata",136778747,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Boehmeria",NA,"Sw.",1000
"54","Bonellia frutescens",206143306,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Bonellia","Barbasco","(Mill.) B.Ståhl &amp; Källersjö",1000
"55","Bowdichia virgilioides",62021373,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Bowdichia",NA,"Kunth",1000
"56","Bredemeyera floribunda",179279185,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","POLYGALACEAE","Bredemeyera",NA,"Willd.",1000
"57","Brownea coccinea",144278214,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Brownea",NA,"Jacq.",1000
"58","Brownea stenantha",153330384,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Brownea",NA,"Britton &amp; Killip",1000
"59","Buddleja americana",150120590,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","SCROPHULARIACEAE","Buddleja",NA,"L.",1000
"60","Caesalpinia cassioides",194004838,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Caesalpinia",NA,"Willd.",1000
"61","Caesalpinia pulcherrima",130102665,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Caesalpinia",NA,"(L.) Sw.",1000
"62","Calea sessiliflora",203441832,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Calea","Carrasposa","Less.",1000
"63","Calliandra coriacea",146790106,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Calliandra",NA,"(Humb. &amp; Bonpl. ex Willd.) Benth.",1000
