"species","order","dispersal_rate"
"Alouatta arctoidea","Primates",0.369667155256334
"Alouatta palliata","Primates",0.40941482260468
"Alouatta seniculus","Primates",0.376165974144367
"Ametrida centurio","Chiroptera",0.0220180745084597
"Anoura caudifer","Chiroptera",0.022241235286454
"Anoura cultrata","Chiroptera",0.0287511224299123
"Anoura geoffroyi","Chiroptera",0.0266879890921771
"Aotus brumbacki","Primates",0.160674370921291
"Aotus griseimembra","Primates",0.177895787179951
"Aotus lemurinus","Primates",0.167697598895239
"Aotus nancymaae","Primates",0.153000637249061
"Aotus trivirgatus","Primates",0.141517447762852
"Aotus vociferans","Primates",0.161366748975467
"Aotus zonalis","Primates",0.16428977617033
"Artibeus jamaicensis","Chiroptera",0.050785018274956
"Artibeus lituratus","Chiroptera",0.0599378461272372
"Artibeus obscurus","Chiroptera",0.0457159676605526
"Artibeus planirostris","Chiroptera",0.0413830533291201
"Ateles belzebuth","Primates",0.269830889436918
"Ateles fusciceps","Primates",0.317929925020127
"Ateles geoffroyi","Primates",0.288650528175229
"Ateles hybridus","Primates",0.307017381301069
"Atelocynus microtis","Carnivora",5.72908536489056
"Bassaricyon alleni","Carnivora",0.507987473910635
"Bassaricyon gabbii","Carnivora",0.501766240710321
"Bradypus variegatus","Pilosa",0.294146914893209
"Cabassous centralis","Cingulata",0.574451498287265
"Cabassous unicinctus","Cingulata",0.600840942598243
"Cacajao melanocephalus","Primates",0.268120620493228
"Caenolestes convelatus","Paucituberculata",0.0819917178327976
"Caenolestes fuliginosus","Paucituberculata",0.0778039123368573
"Callicebus caquetensis","Primates",0.185390557869161
"Callimico goeldii","Primates",0.176359646351357
"Caluromys derbianus","Didelphimorphia",0.323045356287062
"Caluromys lanatus","Didelphimorphia",0.309795541590743
"Carollia castanea","Chiroptera",0.0275673261762412
"Carollia perspicillata","Chiroptera",0.0339169630813699
"Cavia aperea","Rodentia",0.489217101042992
"Cebuella pygmaea","Primates",0.0720250422043482
"Cebus albifrons","Primates",0.157909900288543
"Cebus apella","Primates",0.167197567447885
"Cebus capucinus","Primates",0.141122057271471
"Cebus olivaceus","Primates",0.148195923617537
"Centurio senex","Chiroptera",0.0335074943858626
"Cerdocyon thous","Carnivora",3.89866848406747
"Chiroderma salvini","Chiroptera",0.0359475365458076
"Chiroderma trinitatum","Chiroptera",0.0254852958728079
"Chiroderma villosum","Chiroptera",0.034067722673793
"Chironectes minimus","Didelphimorphia",0.618788503641412
"Choeroniscus minor","Chiroptera",0.0196942233731717
"Choeroniscus periosus","Chiroptera",0.0192399603628282
"Choloepus didactylus","Pilosa",0.315212263186718
"Choloepus hoffmanni","Pilosa",0.270686938817046
"Chrotopterus auritus","Chiroptera",0.0647745709848204
"Coendou bicolor","Rodentia",0.392897036730056
"Coendou prehensilis","Rodentia",0.374769122564309
"Coendou quichua","Rodentia",0.338130060708011
"Conepatus semistriatus","Carnivora",1.33876082544723
"Cryptotis thomasi","Eulipotyphla",0.145339606607952
"Cuniculus paca","Rodentia",0.784584337462864
"Cuniculus taczanowskii","Rodentia",0.826525372017416
"Cyclopes didactylus","Pilosa",0.0654973242732136
"Dactylomys dactylinus","Rodentia",0.567514274483935
"Dasyprocta fuliginosa","Rodentia",0.55050563933082
"Dasyprocta punctata","Rodentia",0.4940202845409
"Dasypus kappleri","Cingulata",1.09920991346486
"Dasypus novemcinctus","Cingulata",0.608837850461634
"Dasypus sabanicola","Cingulata",0.347483639441521
"Desmodus rotundus","Chiroptera",0.0302537733150699
"Didelphis marsupialis","Didelphimorphia",1.14528766601663
"Didelphis pernigra","Didelphimorphia",0.90557807216427
"Dinomys branickii","Rodentia",0.774205366976142
"Diphylla ecaudata","Chiroptera",0.0372630059929996
"Eira barbara","Carnivora",1.65794789186663
"Enchisthenes hartii","Chiroptera",0.0283920959687859
"Eptesicus andinus","Chiroptera",0.0207398903625238
"Eptesicus brasiliensis","Chiroptera",0.0175277299628488
"Eptesicus furinalis","Chiroptera",0.0159215460966476
"Euryoryzomys macconnelli","Rodentia",0.200482177859335
"Galictis vittata","Carnivora",2.8095493108938
"Glossophaga commissarisi","Chiroptera",0.0203263977898834
"Glossophaga longirostris","Chiroptera",0.0248957555565525
"Glossophaga soricina","Chiroptera",0.0212906252250395
"Handleyomys fuscatus","Rodentia",0.17715204267923
"Heteromys anomalus","Rodentia",0.143077264689415
"Heteromys australis","Rodentia",0.251280109921335
"Heteromys desmarestianus","Rodentia",0.148516055987778
"Hydrochoerus hydrochaeris","Rodentia",2.11186579775268
"Hydrochoerus isthmius","Rodentia",1.35848236635426
"Hylaeamys perenensis","Rodentia",0.214009206408028
"Hylaeamys yunganus","Rodentia",0.247387808944692
"Lampronycteris brachyotis","Chiroptera",0.0217703507113753
"Lasiurus blossevillii","Chiroptera",0.0275136891891487
"Leopardus pardalis","Carnivora",3.78321883353927
"Leopardus tigrinus","Carnivora",1.18334201835563
"Leopardus wiedii","Carnivora",1.65086316230808
"Leptonycteris curasoae","Chiroptera",0.0351803260656033
"Lionycteris spurrelli","Chiroptera",0.0199637625589254
"Lonchophylla handleyi","Chiroptera",0.0256956212813596
"Lonchophylla robusta","Chiroptera",0.0252967221042973
"Lonchorhina orinocensis","Chiroptera",0.0201940758043802
"Lontra longicaudis","Carnivora",1.94974844210338
"Lophostoma brasiliense","Chiroptera",0.021047277701768
"Macrophyllum macrophyllum","Chiroptera",0.0189298506958375
"Marmosa murina","Didelphimorphia",0.155255023774908
"Marmosa robinsoni","Didelphimorphia",0.204759670267481
"Marmosops noctivagus","Didelphimorphia",0.144317160884101
"Mazama americana","Cetartiodactyla",1.34201983344902
"Mazama gouazoubira","Cetartiodactyla",1.11923354911668
"Mazama rufina","Cetartiodactyla",1.07491507083424
"Mazama temama","Cetartiodactyla",1.10406952316118
"Melanomys caliginosus","Rodentia",0.160015716171812
"Mesomys hispidus","Rodentia",0.279416043913318
"Mesophylla macconnelli","Chiroptera",0.0173983495581604
"Metachirus nudicaudatus","Didelphimorphia",0.363485818363841
"Micronycteris hirsuta","Chiroptera",0.0244584879564069
"Micronycteris megalotis","Chiroptera",0.0167583098383474
"Micronycteris microtis","Chiroptera",0.0195086308062598
"Micronycteris minuta","Chiroptera",0.0174530582726449
"Microryzomys minutus","Rodentia",0.0877941967646548
"Microsciurus flaviventer","Rodentia",0.117741683168598
"Microsciurus santanderensis","Rodentia",0.1230245557382
"Molossops temminckii","Chiroptera",0.0231006252865242
"Molossus coibensis","Chiroptera",0.0588275961156603
"Molossus molossus","Chiroptera",0.0365416479430959
"Molossus rufus","Chiroptera",0.0588275961156603
"Mormoops megalophylla","Chiroptera",0.0301428355168715
"Mus musculus","Rodentia",0.0999305344140314
"Mustela felipei","Carnivora",0.162784185915439
"Mustela frenata","Carnivora",0.29129840962191
"Myoprocta pratti","Rodentia",0.325769184508363
"Myotis albescens","Chiroptera",0.015411096303489
"Myotis keaysi","Chiroptera",0.0150566037726167
"Myotis nigricans","Chiroptera",0.05311890202575
"Myotis oxyotus","Chiroptera",0.0153524988073088
"Myotis riparius","Chiroptera",0.0136907631908266
"Myrmecophaga tridactyla","Pilosa",0.798442153591946
"Nasua narica","Carnivora",1.62867643565064
"Nasua nasua","Carnivora",1.47849159542544
"Nasuella olivacea","Carnivora",0.657213936865575
"Natalus tumidirostris","Chiroptera",0.0165662045844015
"Neacomys spinosus","Rodentia",0.105629762055835
"Noctilio albiventris","Chiroptera",0.0432945816791901
"Noctilio leporinus","Chiroptera",0.0421445544616771
"Odocoileus virginianus","Cetartiodactyla",2.02024534166138
"Oecomys bicolor","Rodentia",0.159466958224054
"Oecomys trinitatis","Rodentia",0.219146848390067
"Olallamys albicauda","Rodentia",0.355604912349382
"Oligoryzomys destructor","Rodentia",0.123031310206444
"Oligoryzomys fulvescens","Rodentia",0.122503066937062
"Ozotoceros bezoarticus","Cetartiodactyla",1.26055216734606
"Panthera onca","Carnivora",18.1289071711774
"Pecari tajacu","Cetartiodactyla",0.885883747982213
"Peropteryx macrotis","Chiroptera",0.0362702057453747
"Philander andersoni","Didelphimorphia",0.488177098979481
"Philander opossum","Didelphimorphia",0.564864349609991
"Phylloderma stenops","Chiroptera",0.0539708849399511
"Phyllostomus discolor","Chiroptera",0.0430340979887613
"Phyllostomus elongatus","Chiroptera",0.0461368063531922
"Phyllostomus hastatus","Chiroptera",0.070454151204111
"Pithecia monachus","Primates",0.23209104239899
"Platyrrhinus brachycephalus","Chiroptera",0.0258295936246817
"Platyrrhinus dorsalis","Chiroptera",0.0357255264803332
"Platyrrhinus helleri","Chiroptera",0.0250166201793365
"Platyrrhinus infuscus","Chiroptera",0.0512713438835397
"Platyrrhinus lineatus","Chiroptera",0.0344751480293025
"Platyrrhinus umbratus","Chiroptera",0.0351050799227405
"Platyrrhinus vittatus","Chiroptera",0.0432300099679476
"Potos flavus","Carnivora",0.669963819628401
"Priodontes maximus","Cingulata",1.97708369108986
"Procyon cancrivorus","Carnivora",3.21831687654118
"Procyon lotor","Carnivora",2.42118551524412
"Proechimys brevicauda","Rodentia",0.425303420662473
"Proechimys chrysaeolus","Rodentia",0.425303420662473
"Proechimys oconnelli","Rodentia",0.425303420662473
"Proechimys quadruplicatus","Rodentia",0.425303420662473
"Proechimys semispinosus","Rodentia",0.496480802457914
"Proechimys simonsi","Rodentia",0.425303420662473
"Pteronotus davyi","Chiroptera",0.0207034668738219
"Pteronotus gymnonotus","Chiroptera",0.0275267444108714
"Pteronotus parnellii","Chiroptera",0.0335229659027386
"Pteronura brasiliensis","Carnivora",10.447060851852
"Pudu mephistophiles","Cetartiodactyla",1.29136700180292
"Puma concolor","Carnivora",16.2648333170998
"Puma yagouaroundi","Carnivora",3.11166462455942
"Rattus norvegicus","Rodentia",0.450526671536931
"Rattus rattus","Rodentia",0.338583447189353
"Reithrodontomys mexicanus","Rodentia",0.27703763018125
"Rhinophylla fischerae","Chiroptera",0.0208602493579082
"Rhinophylla pumilio","Chiroptera",0.0208367703209866
"Rhipidomys fulviventer","Rodentia",0.243181179486788
"Rhogeessa io","Chiroptera",0.0134650162183586
"Rhynchonycteris naso","Chiroptera",0.0305761008441504
"Saccopteryx bilineata","Chiroptera",0.0438736789256251
"Saccopteryx canescens","Chiroptera",0.0275352663967061
"Saccopteryx leptura","Chiroptera",0.036493753622381
"Saguinus geoffroyi","Primates",0.135739789014577
"Saguinus inustus","Primates",0.189662457463176
"Saguinus leucopus","Primates",0.158273143379045
"Saguinus oedipus","Primates",0.159273572892951
"Saimiri sciureus","Primates",0.119527316149304
"Sciurus granatensis","Rodentia",0.13443405485253
"Sciurus ignitus","Rodentia",0.101718823985851
"Sciurus igniventris","Rodentia",0.205696701523604
"Sciurus spadiceus","Rodentia",0.152730317842798
"Sigmodon hirsutus","Rodentia",0.246025571269775
"Speothos venaticus","Carnivora",4.17011722496076
"Sphaeronycteris toxophyllum","Chiroptera",0.0275420093780273
"Sturnira bidens","Chiroptera",0.0293353126425597
"Sturnira bogotensis","Chiroptera",0.030955983953774
"Sturnira erythromos","Chiroptera",0.0270474057312716
"Sturnira lilium","Chiroptera",0.0311649648894844
"Sturnira ludovici","Chiroptera",0.0318340173675829
"Sturnira luisi","Chiroptera",0.0330468057976689
"Sturnira magna","Chiroptera",0.0330468057976689
"Sturnira tildae","Chiroptera",0.0345133727476289
"Sus scrofa","Cetartiodactyla",2.18698081137794
"Sylvilagus brasiliensis","Lagomorpha",0.541777874471095
"Sylvilagus floridanus","Lagomorpha",0.529239528743902
"Tadarida brasiliensis","Chiroptera",0.0273914298038625
"Tamandua mexicana","Pilosa",0.617661431446289
"Tamandua tetradactyla","Pilosa",0.665685613093561
"Tapirus pinchaque","Perissodactyla",2.02137402235238
"Tapirus terrestris","Perissodactyla",2.1072800332777
"Tayassu pecari","Cetartiodactyla",1.07867010875487
"Thomasomys aureus","Rodentia",0.241687032042936
"Thomasomys cinereiventer","Rodentia",0.224886998749196
"Thomasomys hylophilus","Rodentia",0.224886998749196
"Thomasomys laniger","Rodentia",0.148580841261553
"Thomasomys niveipes","Rodentia",0.185841425022553
"Thyroptera tricolor","Chiroptera",0.0138469421712332
"Tonatia saurophila","Chiroptera",0.0369685234617276
"Trachops cirrhosus","Chiroptera",0.0431605795295739
"Transandinomys bolivaris","Rodentia",0.196544561968261
