"species","ssp","aoi_area","cur_area","fut_area","IoU"
"Ametrida.centurio","ssp126",1201499.56810158,65314.4154254794,24231.4803496599,36.7312502680763
"Alouatta.arctoidea","ssp126",432281.436103455,212077.696955502,28386.2007803321,10.4969387611964
"Anoura.cadenai","ssp126",165884.269810647,51886.8241749406,12190.4036126733,14.029852890691
"Alouatta.palliata","ssp126",348250.49016504,116402.328172266,36645.3983979225,30.6963612556378
"Ametrida.centurio","ssp585",1201499.56810158,65314.4154254794,18175.3552484512,27.506204991103
"Alouatta.arctoidea","ssp585",432281.436103455,212077.696955502,32913.4776086807,12.2435060933854
"Anoura.cadenai","ssp585",165884.269810647,51886.8241749406,24868.2772421241,31.8962610996544
"Alouatta.palliata","ssp585",348250.49016504,116402.328172266,38536.4201433659,31.5888391808362
"Aotus.griseimembra","ssp126",442999.551211922,224062.443845987,151166.477018356,54.997482771594
"Aotus.griseimembra","ssp585",442999.551211922,224062.443845987,138721.200149179,49.8303024724517
"Aotus.lemurinus","ssp126",498545.518802248,246476.323222816,276394.928762078,88.9557218420593
"Alouatta.seniculus","ssp126",3705585.96612886,3359141.58039874,3299492.14564753,85.2973902804458
"Aotus.lemurinus","ssp585",498545.518802248,246476.323222816,284499.457758069,86.5726880946215
"Ateles.fusciceps","ssp126",367259.949171777,305051.072574258,269932.873537302,73.5574763327139
"Anoura.caudifer","ssp126",4027435.31536525,1824293.40204769,1702324.25173116,90.1738457228298
"Ateles.fusciceps","ssp585",367259.949171777,305051.072574258,279017.62179029,74.966754582989
"Alouatta.seniculus","ssp585",3705585.96612886,3359141.58039874,3368603.07024831,82.7550811509576
"Bassaricyon.medius","ssp126",334759.451160285,260204.948311746,151272.487785518,54.6021270974697
"Anoura.caudifer","ssp585",4027435.31536525,1824293.40204769,1725886.65993148,90.1630210691951
"Bassaricyon.medius","ssp585",334759.451160285,260204.948311746,157812.890268683,55.7206043819587
"Aotus.brumbacki","ssp126",736983.634271291,639055.464544773,484110.408200562,60.5049564927776
"Aotus.brumbacki","ssp585",736983.634271291,639055.464544773,417190.688037336,52.7866581114295
"Aotus.nancymaae","ssp126",1282728.82402709,484692.864455223,70549.3666794896,10.2340214363489
"Cacajao.melanocephalus","ssp126",1043562.12888831,538512.949206531,630841.043706298,72.3895785401504
"Aotus.zonalis","ssp126",197149.888319529,101283.377917826,49596.2459483147,38.4283158652185
"Aotus.nancymaae","ssp585",1282728.82402709,484692.864455223,74317.4301534295,10.7210587059291
"Aotus.zonalis","ssp585",197149.888319529,101283.377917826,46278.6675106883,38.175593476134
"Cacajao.melanocephalus","ssp585",1043562.12888831,538512.949206531,625300.001732588,69.0287138300594
"Anoura.geoffroyi","ssp126",4655155.07297498,2457134.14791644,2249785.17368674,84.9634586242411
"Artibeus.jamaicensis","ssp126",5382253.20961938,3362906.50398082,2271443.1166423,66.9724430265836
"Caluromys.lanatus","ssp126",3003655.42975573,3049625.40067047,1952800.69753373,57.9946197424862
"Ateles.belzebuth","ssp126",2022825.46427233,1310574.7471084,994447.294884264,64.7565512158183
"Anoura.geoffroyi","ssp585",4655155.07297498,2457134.14791644,2282580.91359133,82.9676088547696
"Artibeus.lituratus","ssp126",5696906.27195182,4217206.95124352,3414286.26738346,79.2601585944115
"Artibeus.jamaicensis","ssp585",5382253.20961938,3362906.50398082,2359547.64220005,69.4978547454221
"Caluromys.lanatus","ssp585",3003655.42975573,3049625.40067047,1969534.81153685,58.4633191446003
"Anoura.cultrata","ssp126",2580240.3247113,2381588.59878886,2066457.56843603,83.8931211847646
"Aotus.vociferans","ssp126",1652303.21827179,711486.780659914,649097.07906878,71.5946590692856
"Ateles.belzebuth","ssp585",2022825.46427233,1310574.7471084,991377.596925974,63.7503732813762
"Aotus.vociferans","ssp585",1652303.21827179,711486.780659914,655938.146315694,69.8924309377865
"Ateles.geoffroyi","ssp126",440155.67575233,276021.298892021,219216.68066287,58.0894066539491
"Cebuella.pygmaea","ssp126",1715881.26077317,600650.064437449,416178.726277232,65.6679022408801
"Artibeus.lituratus","ssp585",5696906.27195182,4217206.95124352,3364074.20897198,77.7438842581313
"Ateles.geoffroyi","ssp585",440155.67575233,276021.298892021,220342.583395898,55.794877770793
"Cebuella.pygmaea","ssp585",1715881.26077317,600650.064437449,499257.500137806,77.1107288238302
"Ateles.hybridus","ssp126",435671.336628619,187002.582066417,169335.277629673,54.8764792668086
"Centurio.senex","ssp126",898239.675661893,602028.086443663,467925.256734252,70.6468535530581
"Bassaricyon.neblina","ssp126",359382.109522915,158661.341093242,82829.2590245605,46.8766536151736
"Ateles.hybridus","ssp585",435671.336628619,187002.582066417,165907.280280769,51.2468140752784
"Centurio.senex","ssp585",898239.675661893,602028.086443663,438639.357949018,66.1049409436165
"Bassaricyon.neblina","ssp585",359382.109522915,158661.341093242,86856.4184353948,50.9526763331928
"Bassaricyon.gabbii","ssp126",2275197.06805757,1079136.5771538,889346.045731366,73.8404507448016
"Caenolestes.convelatus","ssp126",173095.101778729,111864.935541749,113525.253821731,66.9236812300039
"Caenolestes.convelatus","ssp585",173095.101778729,111864.935541749,117658.926095009,70.1877364386845
"Artibeus.planirostris","ssp126",5539117.29774813,3847440.59938991,3200910.21326834,79.1835787752343
"Anoura.cultrata","ssp585",2580240.3247113,2381588.59878886,2062876.22774953,83.809896866702
"Bos.taurus","ssp126",3234460.80592763,1198974.62636811,782487.647473216,62.3429273151816
"Bassaricyon.gabbii","ssp585",2275197.06805757,1079136.5771538,909946.590275824,73.7188437727992
"Capra.hircus","ssp126",1171444.87541883,1006536.1994257,1083457.68778598,61.006194799702
"Bos.taurus","ssp585",3234460.80592763,1198974.62636811,782474.885835707,62.6496549870386
"Capra.hircus","ssp585",1171444.87541883,1006536.1994257,1116649.19331098,60.2767453802937
"Artibeus.planirostris","ssp585",5539117.29774813,3847440.59938991,3435917.1725589,79.1974369450949
"Cabassous.unicinctus","ssp126",2013251.88716454,863991.52141726,626621.556179702,68.9516028778934
"Caenolestes.fuliginosus","ssp126",700584.91575357,181052.493824482,163791.997158647,89.4117086391283
"Aotus.trivirgatus","ssp126",3359504.73543945,2753280.34681404,2550420.84329921,68.2527672592998
"Caenolestes.fuliginosus","ssp585",700584.91575357,181052.493824482,162344.231764853,88.1671039270465
