sci_name,marine,terrestria,freshwater,Wild,Note
Bos taurus,FALSE,TRUE,FALSE,No,demostic
Callicebus caquetensis,FALSE,TRUE,FALSE,Yes,
Capra hircus,FALSE,TRUE,FALSE,Yes,
Cavia porcellus,FALSE,TRUE,FALSE,No,pet
Cebus apella,FALSE,TRUE,FALSE,Yes,
Cryptotis colombianus,FALSE,TRUE,FALSE,Yes,
Cyclopes dorsalis,FALSE,TRUE,FALSE,Yes,
Cyclopes ida,FALSE,TRUE,FALSE,Yes,
Cynorca occidentale,FALSE,TRUE,FALSE,No,Extinct
Dasypus pastasae,FALSE,TRUE,FALSE,Yes,
Dicotyles tajacu,FALSE,TRUE,FALSE,Yes,
Equus andium,FALSE,TRUE,FALSE,No,Extinct
Equus asinus,FALSE,TRUE,FALSE,No,African
Equus caballus,FALSE,TRUE,FALSE,No,demostic
Felis pardalis,FALSE,TRUE,FALSE,Yes,
Hadrosciurus igniventris,FALSE,TRUE,FALSE,Yes,
Herpailurus concolor,FALSE,TRUE,FALSE,Yes,
Lama glama,FALSE,TRUE,FALSE,No,demostic
Marmosa isthmica,FALSE,TRUE,FALSE,Yes,
Marmosops chucha,FALSE,TRUE,FALSE,Yes,
Mazama sanctaemartae,FALSE,TRUE,FALSE,Yes,
Mazama zetta,FALSE,TRUE,FALSE,Yes,
Metachirus myosuros,FALSE,TRUE,FALSE,Yes,
Mustela felipei,FALSE,TRUE,FALSE,Yes,
Mustela frenata,FALSE,TRUE,FALSE,Yes,
Myoprocta acouchi,FALSE,TRUE,FALSE,Yes,
Nephelomys childi,FALSE,TRUE,FALSE,Yes,
Odocoileus cariacou,FALSE,TRUE,FALSE,Yes,subspecies
Odocoileus goudotii,FALSE,TRUE,FALSE,Yes,subspecies
Olallamys albicaudus,FALSE,TRUE,FALSE,Yes,
Philander melanurus,FALSE,TRUE,FALSE,Yes,
Puma yagouaroundi,FALSE,TRUE,FALSE,Yes,
Saguinus geoffroyi,FALSE,TRUE,FALSE,Yes,
Saguinus inustus,FALSE,TRUE,FALSE,Yes,
Saguinus leucopus,FALSE,TRUE,FALSE,Yes,
Saguinus oedipus,FALSE,TRUE,FALSE,Yes,
Saimiri macrodon,FALSE,TRUE,FALSE,Yes,
Sylvilagus salentus,FALSE,TRUE,FALSE,Yes,
Syntheosciurus granatensis,FALSE,TRUE,FALSE,Yes,
Tapirella bairdii,FALSE,TRUE,FALSE,Yes,
Vicugna pacos,FALSE,TRUE,FALSE,No,demostic
